path,kind,min_leg_kzt,days_span,n_occurrences
100000000011452100->100000005140601100->100000000011452100,cycle,15000.0,,1
100000000076451100->100000004629688100->100000000076451100,cycle,5000.0,,1
100000000267734100->100000000031787100->100000000267734100,cycle,60000.0,,1
100000000297649100->100000001899164100->100000000297649100,cycle,40000.0,,1
100000000437046100->100000007639767100->100000000437046100,cycle,27868.0,,1
100000000580561100->100000007939160100->100000000580561100,cycle,9300.0,,1
100000000594783100->100000002224132100->100000000594783100,cycle,60000.0,,1
100000000594783100->100000004603109100->100000002224132100->100000000594783100,cycle,92500.0,,1
100000000607941100->100000003406094100->100000000607941100,cycle,20000.0,,1
100000000661912100->100000003131016100->100000000661912100,cycle,126000.0,,1
100000000706545100->100000006901046100->100000000706545100,cycle,5500.0,,1
100000000785800100->100000008601794100->100000001872484100->100000000785800100,cycle,19000.0,,1
100000000791285100->100000008461532100->100000000791285100,cycle,560000.0,,1
100000000838385100->100000008213966100->100000000838385100,cycle,145000.0,,1
100000000933075100->100000002193259100->100000000933075100,cycle,40000.0,,1
100000001049200100->100000003016635100->100000001049200100,cycle,5000.0,,1
100000001049200100->100000004156082100->100000004188160100->100000003016635100->100000001049200100,cycle,6014.0,,1
100000001232297100->100000005074393100->100000001232297100,cycle,5000.0,,1
100000001232297100->100000005882013100->100000005074393100->100000001232297100,cycle,5000.0,,1
100000001382002100->100000005584222100->100000001382002100,cycle,55000.0,,1
100000001526235100->100000000926766100->100000001526235100,cycle,6000.0,,1
100000001526235100->100000005505655100->100000001526235100,cycle,20000.0,,1
100000001600934100->100000005140601100->100000001600934100,cycle,11000.0,,1
100000001660397100->100000006866783100->100000001660397100,cycle,19300.0,,1
100000001660397100->100000008477350100->100000005910114100->100000006866783100->100000001660397100,cycle,12000.0,,1
100000001660397100->100000008477350100->100000007639767100->100000006866783100->100000001660397100,cycle,10000.0,,1
100000001677929100->100000002394199100->100000001677929100,cycle,76777.0,,1
100000001697501100->100000002527114100->100000001697501100,cycle,25000.0,,1
100000001697501100->100000006612238100->100000001697501100,cycle,25000.0,,1
100000001732159100->100000008637537100->100000001732159100,cycle,381890.0,,1
100000001740277100->100000001677929100->100000001740277100,cycle,5000.0,,1
100000001788284100->100000001526235100->100000001788284100,cycle,8000.0,,1
100000001872484100->100000008601794100->100000001872484100,cycle,475400.0,,1
100000001893287100->100000004698193100->100000001893287100,cycle,18000.0,,1
100000001899164100->100000002193259100->100000001899164100,cycle,8000.0,,1
100000001937767100->100000001616816100->100000001937767100,cycle,53000.0,,1
100000002132479100->100000004159526100->100000002132479100,cycle,20000.0,,1
100000002156381100->100000002696152100->100000002156381100,cycle,21800.0,,1
100000002175422100->100000002975437100->100000002175422100,cycle,8500.0,,1
100000002175422100->100000003004487100->100000002175422100,cycle,40000.0,,1
100000002175422100->100000003557488100->100000002175422100,cycle,20000.0,,1
100000002217161100->100000001445848100->100000002217161100,cycle,351850.0,,1
100000002267998100->100000003701161100->100000002267998100,cycle,220000.0,,1
100000002267998100->100000003701161100->100000003718221100->100000002267998100,cycle,120000.0,,1
100000002267998100->100000003718221100->100000002267998100,cycle,200000.0,,1
100000002267998100->100000003718221100->100000003701161100->100000002267998100,cycle,120000.0,,1
100000002293421100->100000004180097100->100000002293421100,cycle,22000.0,,1
100000002391278100->100000004221668100->100000002391278100,cycle,30000.0,,1
100000002527114100->100000006656003100->100000002527114100,cycle,9000.0,,1
100000002578405100->100000001697501100->100000002578405100,cycle,73700.0,,1
100000002578405100->100000005041905100->100000002578405100,cycle,5000.0,,1
100000002723538100->100000003242289100->100000004140487100->100000004400305100->100000002723538100,cycle,15000.0,,1
100000002733905100->100000001166289100->100000002733905100,cycle,25000.0,,1
100000002738256100->100000004135268100->100000002738256100,cycle,150200.0,,1
100000002741024100->100000001439416100->100000002741024100,cycle,10000.0,,1
100000002741024100->100000007629096100->100000002741024100,cycle,360000.0,,1
100000002741024100->100000008680912100->100000002741024100,cycle,5990.85,,1
100000002796853100->100000002781227100->100000002796853100,cycle,46167.62,,1
100000002838861100->100000002812641100->100000002838861100,cycle,7023.95,,1
100000002957787100->100000005268319100->100000002957787100,cycle,19712.8,,1
100000002958343100->100000000274067100->100000002958343100,cycle,300000.0,,1
100000003001661100->100000007382543100->100000003001661100,cycle,110000.0,,1
100000003115284100->100000003360542100->100000003115284100,cycle,30500.0,,1
100000003148220100->100000004971871100->100000003148220100,cycle,5650.0,,1
100000003299365100->100000003684369100->100000003299365100,cycle,200000.0,,1
100000003390036100->100000005873152100->100000003360542100->100000003115284100->100000003390036100,cycle,10000.0,,1
100000003390036100->100000005873152100->100000003360542100->100000003390036100,cycle,10000.0,,1
100000003509750100->100000001808684100->100000003509750100,cycle,37700.0,,1
100000003509750100->100000004697956100->100000003509750100,cycle,10000.0,,1
